date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,high,low
"05/01/2017, GT Craig NCore",0.3,3.0,17.0,16.0,0.042,39.0,21.0,19.0,7.7,32.0,4.0,6.0,39.0,76,53
"05/02/2017, GT Craig NCore",,,6.0,6.0,0.041,38.0,6.0,6.0,1.8,8.0,1.0,1.0,38.0,54,45
"05/03/2017, GT Craig NCore",0.2,2.0,12.0,11.0,0.037,34.0,8.0,7.0,3.2,13.0,1.0,1.0,34.0,57,44
"05/04/2017, GT Craig NCore",0.3,3.0,22.0,21.0,0.022,20.0,12.0,11.0,5.9,25.0,1.0,1.0,25.0,56,48
"05/05/2017, GT Craig NCore",0.3,3.0,12.0,11.0,0.037,34.0,3.0,3.0,2.1,9.0,0.0,0.0,34.0,53,45
"05/06/2017, GT Craig NCore",0.2,2.0,4.0,4.0,0.034,31.0,4.0,4.0,2.5,10.0,0.0,0.0,31.0,52,45
"05/07/2017, GT Craig NCore",0.2,2.0,13.0,12.0,0.039,36.0,6.0,6.0,1.5,6.0,1.0,1.0,36.0,56,40
"05/08/2017, GT Craig NCore",0.2,2.0,35.0,33.0,0.041,38.0,25.0,23.0,2.1,9.0,,,38.0,55,36
"05/09/2017, GT Craig NCore",0.5,6.0,48.0,45.0,0.043,40.0,54.0,50.0,12.6,52.0,10.0,14.0,52.0,62,36
"05/10/2017, GT Craig NCore",0.4,5.0,34.0,32.0,0.037,34.0,23.0,21.0,5.0,21.0,1.0,1.0,34.0,64,48
"05/11/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.031,29.0,12.0,11.0,4.9,20.0,0.0,0.0,29.0,58,51
"05/12/2017, GT Craig NCore",0.4,5.0,29.0,27.0,0.03,28.0,15.0,14.0,10.7,45.0,0.0,0.0,45.0,59,48
"05/13/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.047,44.0,19.0,18.0,10.4,43.0,0.0,0.0,44.0,70,42
"05/14/2017, GT Craig NCore",0.3,3.0,15.0,14.0,0.038,35.0,14.0,13.0,13.4,54.0,2.0,3.0,54.0,64,50
"05/15/2017, GT Craig NCore",0.4,5.0,38.0,36.0,0.029,27.0,21.0,19.0,4.0,17.0,3.0,4.0,36.0,68,40
"05/16/2017, GT Craig NCore",0.4,5.0,26.0,25.0,0.061,71.0,57.0,52.0,11.0,46.0,3.0,4.0,71.0,87,49
"05/17/2017, GT Craig NCore",0.4,5.0,41.0,39.0,0.05,46.0,64.0,55.0,15.1,57.0,5.0,7.0,57.0,90,70
"05/18/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.048,44.0,44.0,41.0,25.5,79.0,0.0,0.0,79.0,89,71
"05/19/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.025,23.0,11.0,10.0,5.6,23.0,0.0,0.0,23.0,72,52
"05/20/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.031,29.0,15.0,14.0,7.0,29.0,0.0,0.0,29.0,73,54
"05/21/2017, GT Craig NCore",0.5,6.0,11.0,10.0,0.031,29.0,20.0,19.0,11.2,47.0,1.0,1.0,47.0,76,65
"05/22/2017, GT Craig NCore",0.2,2.0,21.0,20.0,0.045,42.0,14.0,13.0,4.8,20.0,14.0,20.0,42.0,71,54
"05/23/2017, GT Craig NCore",0.4,5.0,39.0,37.0,0.047,44.0,35.0,32.0,11.3,47.0,10.0,14.0,47.0,77,52
"05/24/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.033,31.0,18.0,17.0,9.0,38.0,3.0,4.0,38.0,68,61
"05/25/2017, GT Craig NCore",0.3,3.0,22.0,21.0,0.029,27.0,8.0,7.0,4.9,20.0,0.0,0.0,27.0,63,59
"05/26/2017, GT Craig NCore",0.3,3.0,31.0,29.0,0.037,34.0,11.0,10.0,5.2,22.0,0.0,0.0,34.0,70,58
"05/27/2017, GT Craig NCore",0.4,5.0,24.0,23.0,0.039,36.0,12.0,11.0,10.1,42.0,0.0,0.0,42.0,73,59
"05/28/2017, GT Craig NCore",0.4,5.0,14.0,13.0,0.039,36.0,23.0,21.0,12.3,51.0,10.0,14.0,51.0,81,59
"05/29/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.047,44.0,16.0,15.0,6.8,28.0,8.0,11.0,44.0,82,60
"05/30/2017, GT Craig NCore",0.3,3.0,20.0,19.0,0.044,41.0,27.0,25.0,4.7,20.0,6.0,9.0,41.0,79,58
"05/31/2017, GT Craig NCore",0.3,3.0,36.0,34.0,0.047,44.0,40.0,37.0,8.3,35.0,12.0,17.0,44.0,78,56
"06/01/2017, GT Craig NCore",0.3,3.0,39.0,37.0,0.042,39.0,27.0,25.0,6.5,27.0,10.0,14.0,39.0,73,53
"06/02/2017, GT Craig NCore",0.5,6.0,38.0,36.0,0.041,38.0,44.0,41.0,14.7,56.0,10.0,14.0,56.0,80,52
"06/03/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.045,42.0,29.0,27.0,11.8,49.0,1.0,1.0,49.0,82,56
"06/04/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.051,47.0,29.0,27.0,13.4,54.0,11.0,16.0,54.0,88,69
"06/05/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.042,39.0,12.0,11.0,6.1,25.0,0.0,0.0,39.0,71,59
"06/06/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.03,28.0,10.0,9.0,5.0,21.0,0.0,0.0,28.0,68,52
"06/07/2017, GT Craig NCore",0.3,3.0,17.0,16.0,0.028,26.0,9.0,8.0,3.6,15.0,0.0,0.0,26.0,66,54
"06/08/2017, GT Craig NCore",0.6,7.0,36.0,34.0,0.036,33.0,30.0,28.0,8.9,37.0,5.0,7.0,37.0,73,50
"06/09/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.043,40.0,69.0,58.0,16.3,60.0,17.0,24.0,60.0,79,53
"06/10/2017, GT Craig NCore",0.7,8.0,10.0,9.0,0.064,80.0,30.0,28.0,10.0,42.0,1.0,1.0,80.0,89,67
"06/11/2017, GT Craig NCore",0.8,9.0,19.0,18.0,0.059,64.0,23.0,21.0,,,10.0,14.0,64.0,91,69
"06/12/2017, GT Craig NCore",,,14.0,13.0,0.053,49.0,28.0,26.0,,,1.0,1.0,49.0,93,73
"06/13/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.07,100.0,33.0,31.0,,,3.0,4.0,100.0,93,73
"06/14/2017, GT Craig NCore",0.4,5.0,28.0,26.0,0.052,48.0,40.0,37.0,13.0,53.0,3.0,4.0,53.0,88,69
"06/15/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.044,41.0,24.0,22.0,7.9,33.0,14.0,20.0,41.0,86,72
"06/16/2017, GT Craig NCore",0.3,3.0,24.0,23.0,0.055,51.0,22.0,20.0,4.9,20.0,7.0,10.0,51.0,91,70
"06/17/2017, GT Craig NCore",0.3,3.0,15.0,14.0,0.056,54.0,29.0,27.0,10.3,43.0,5.0,7.0,54.0,92,72
