date_county,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE
"03/30/2017, Cuyahoga",7,7
"03/31/2017, Cuyahoga",24,23
"04/01/2017, Cuyahoga",30,28
"04/02/2017, Cuyahoga",30,28
"04/03/2017, Cuyahoga",8,8
"04/04/2017, Cuyahoga",16,15
"04/05/2017, Cuyahoga",12,11
"04/06/2017, Cuyahoga",17,16
"04/11/2017, Cuyahoga",68,66
"04/12/2017, Cuyahoga",14,13
"04/13/2017, Cuyahoga",4,4
"04/14/2017, Cuyahoga",3,3
"04/15/2017, Cuyahoga",13,12
"04/16/2017, Cuyahoga",8,8
"04/17/2017, Cuyahoga",16,15
"04/18/2017, Cuyahoga",6,6
"04/19/2017, Cuyahoga",19,18
"04/20/2017, Cuyahoga",13,12
"04/21/2017, Cuyahoga",14,13
"04/22/2017, Cuyahoga",14,13
"04/23/2017, Cuyahoga",8,8
"04/24/2017, Cuyahoga",2,2
"04/25/2017, Cuyahoga",5,5
"04/26/2017, Cuyahoga",6,6
"04/27/2017, Cuyahoga",11,10
"04/28/2017, Cuyahoga",18,17
"04/29/2017, Cuyahoga",14,13
"04/30/2017, Cuyahoga",7,7
"05/01/2017, Cuyahoga",12,11
"05/02/2017, Cuyahoga",10,9
"05/03/2017, Cuyahoga",15,14
"05/04/2017, Cuyahoga",17,16
"05/05/2017, Cuyahoga",14,13
"05/06/2017, Cuyahoga",8,8
"05/07/2017, Cuyahoga",7,7
"05/08/2017, Cuyahoga",21,20
"05/09/2017, Cuyahoga",22,21
"05/10/2017, Cuyahoga",12,11
"05/11/2017, Cuyahoga",14,13
"05/12/2017, Cuyahoga",20,19
"05/13/2017, Cuyahoga",18,17
"05/14/2017, Cuyahoga",12,11
"05/15/2017, Cuyahoga",15,14
"05/16/2017, Cuyahoga",16,15
"05/19/2017, Cuyahoga",10,9
"05/20/2017, Cuyahoga",6,6
"05/21/2017, Cuyahoga",5,5
"05/23/2017, Cuyahoga",19,18
"05/24/2017, Cuyahoga",5,5
"05/25/2017, Cuyahoga",34,32
"05/26/2017, Cuyahoga",15,14
"05/27/2017, Cuyahoga",6,6
"05/28/2017, Cuyahoga",7,7
"05/29/2017, Cuyahoga",9,8
"05/30/2017, Cuyahoga",29,27
"05/31/2017, Cuyahoga",21,20
"06/01/2017, Cuyahoga",22,21
"06/02/2017, Cuyahoga",19,18
"06/03/2017, Cuyahoga",22,21
"06/04/2017, Cuyahoga",10,9
"06/05/2017, Cuyahoga",21,20
"06/06/2017, Cuyahoga",14,13
"06/07/2017, Cuyahoga",4,4
"06/08/2017, Cuyahoga",18,17
"06/09/2017, Cuyahoga",22,21
"06/10/2017, Cuyahoga",11,10
"06/11/2017, Cuyahoga",7,7
"06/12/2017, Cuyahoga",17,16
"06/13/2017, Cuyahoga",28,26
"06/14/2017, Cuyahoga",19,18
"06/15/2017, Cuyahoga",20,19
"06/16/2017, Cuyahoga",25,24
"06/17/2017, Cuyahoga",6,6
"06/18/2017, Cuyahoga",9,8
"06/19/2017, Cuyahoga",22,21
"06/20/2017, Cuyahoga",20,19
"06/21/2017, Cuyahoga",22,21
"06/22/2017, Cuyahoga",26,25
"06/23/2017, Cuyahoga",12,11
"06/24/2017, Cuyahoga",16,15
"06/25/2017, Cuyahoga",14,13
"06/26/2017, Cuyahoga",20,19
"06/27/2017, Cuyahoga",19,18
"06/28/2017, Cuyahoga",23,22
"06/29/2017, Cuyahoga",14,13
"06/30/2017, Cuyahoga",16,15
"07/01/2017, Cuyahoga",12,11
"07/02/2017, Cuyahoga",18,17
"07/03/2017, Cuyahoga",11,10
"07/04/2017, Cuyahoga",5,5
"07/05/2017, Cuyahoga",14,13
"07/06/2017, Cuyahoga",31,29
"07/07/2017, Cuyahoga",20,19
"07/08/2017, Cuyahoga",8,8
"07/09/2017, Cuyahoga",15,14
"07/10/2017, Cuyahoga",18,17
"07/11/2017, Cuyahoga",19,18
"07/12/2017, Cuyahoga",23,22
"07/13/2017, Cuyahoga",16,15
"07/14/2017, Cuyahoga",12,11
"07/15/2017, Cuyahoga",8,8
"07/16/2017, Cuyahoga",9,8
"07/17/2017, Cuyahoga",13,12
"07/18/2017, Cuyahoga",10,9
"07/19/2017, Cuyahoga",25,24
"07/20/2017, Cuyahoga",27,25
"07/21/2017, Cuyahoga",26,25
"07/22/2017, Cuyahoga",13,12
"07/23/2017, Cuyahoga",15,14
"07/24/2017, Cuyahoga",17,16
"07/25/2017, Cuyahoga",12,11
"07/26/2017, Cuyahoga",15,14
"07/27/2017, Cuyahoga",23,22
