date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val
"01/13/2017, Barr School",,,,,,,6.0,6.0,2.8,12.0,,
"01/13/2017, Brookpark",,,,,,,9.0,8.0,6.5,27.0,,
"01/13/2017, Chippewa",,,,,,,,,6.2,26.0,,
"01/13/2017, Chippewa",,,,,,,,,6.6,28.0,,
"01/13/2017, Cleveland Fire St13",,,,,,,15.0,14.0,7.9,33.0,0.0,0.0
"01/13/2017, Cleveland Fire St13",,,,,,,16.0,15.0,7.9,33.0,0.0,0.0
"01/13/2017, Cleveland Near Road",0.4,5.0,16.0,15.0,,,,,,,,
"01/13/2017, District 6",,,,,,,,,6.2,26.0,,
"01/13/2017, Eastlake",,,,,,,,,,,3.0,4.0
"01/13/2017, FAIRPORT HIGH SCHOOL",,,,,,,7.0,6.0,,,,
"01/13/2017, FAIRPORT HIGH SCHOOL",,,,,,,6.0,6.0,,,,
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,27.0,25.0,7.7,32.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,27.0,25.0,7.7,32.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,27.0,25.0,6.8,28.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,27.0,25.0,6.8,28.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,15.0,14.0,7.7,32.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,15.0,14.0,7.7,32.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,15.0,14.0,6.8,28.0,10.0,14.0
"01/13/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.027,25.0,15.0,14.0,6.8,28.0,10.0,14.0
"01/13/2017, Galleria",0.0,0.0,,,,,,,,,,
"01/13/2017, Harvard Yards",,,,,,,18.0,17.0,7.7,32.0,0.0,0.0
"01/13/2017, Mentor",0.5,6.0,,,,,,,,,,
"01/13/2017, Painesville",,,,,,,,,5.6,23.0,1.0,1.0
"01/13/2017, Painesville",,,,,,,,,5.6,23.0,1.0,1.0
"01/13/2017, Painesville",,,,,,,,,5.0,21.0,1.0,1.0
"01/13/2017, St Theodosius",,,,,,,16.0,15.0,6.7,28.0,1.0,1.0
"01/13/2017, St Theodosius",,,,,,,16.0,15.0,6.3,26.0,1.0,1.0
"01/14/2017, Barr School",,,,,,,,,3.8,16.0,,
