date_county,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
"02/09/2017, Cuyahoga",3.5,15
"02/12/2017, Cuyahoga",15.3,58
"02/15/2017, Cuyahoga",5.5,23
"02/18/2017, Cuyahoga",9.0,38
"02/21/2017, Cuyahoga",16.3,60
"02/24/2017, Cuyahoga",9.8,41
"02/27/2017, Cuyahoga",6.7,28
"03/02/2017, Cuyahoga",3.3,14
"03/05/2017, Cuyahoga",7.1,30
"03/11/2017, Cuyahoga",3.8,16
"03/14/2017, Cuyahoga",3.4,14
"03/17/2017, Cuyahoga",18.2,64
"03/20/2017, Cuyahoga",18.6,65
"03/23/2017, Cuyahoga",11.2,47
"03/26/2017, Cuyahoga",12.6,52
"03/29/2017, Cuyahoga",6.2,26
"04/01/2017, Cuyahoga",6.2,26
"04/04/2017, Cuyahoga",3.8,16
"04/07/2017, Cuyahoga",3.1,13
"04/10/2017, Cuyahoga",9.9,41
"04/13/2017, Cuyahoga",6.0,25
"04/16/2017, Cuyahoga",7.2,30
"04/19/2017, Cuyahoga",7.8,33
"04/22/2017, Cuyahoga",2.0,8
"04/25/2017, Cuyahoga",4.5,19
"04/28/2017, Cuyahoga",9.5,40
"05/04/2017, Cuyahoga",6.8,28
"05/07/2017, Cuyahoga",3.2,13
"05/10/2017, Cuyahoga",6.3,26
"05/13/2017, Cuyahoga",7.8,33
"05/16/2017, Cuyahoga",11.7,49
"05/19/2017, Cuyahoga",5.7,24
"05/22/2017, Cuyahoga",5.0,21
"05/25/2017, Cuyahoga",4.3,18
"05/28/2017, Cuyahoga",10.6,44
"05/31/2017, Cuyahoga",6.8,28
"06/03/2017, Cuyahoga",8.6,36
"06/06/2017, Cuyahoga",2.9,12
"06/09/2017, Cuyahoga",14.1,55
"06/12/2017, Cuyahoga",12.3,51
"06/15/2017, Cuyahoga",8.9,37
"06/18/2017, Cuyahoga",7.8,33
"06/21/2017, Cuyahoga",6.1,25
"06/24/2017, Cuyahoga",5.0,21
"06/27/2017, Cuyahoga",4.3,18
"06/30/2017, Cuyahoga",6.0,25
"07/03/2017, Cuyahoga",7.0,29
"07/06/2017, Cuyahoga",18.2,64
"07/12/2017, Cuyahoga",10.5,44
"07/15/2017, Cuyahoga",6.2,26
"07/18/2017, Cuyahoga",14.3,56
"07/21/2017, Cuyahoga",12.8,52
"07/24/2017, Cuyahoga",4.6,19
"07/27/2017, Cuyahoga",15.2,58
"07/30/2017, Cuyahoga",6.7,28
"08/02/2017, Cuyahoga",19.6,67
"08/05/2017, Cuyahoga",5.6,23
"08/08/2017, Cuyahoga",8.1,34
"08/11/2017, Cuyahoga",14.6,56
"08/14/2017, Cuyahoga",11.6,48
"08/17/2017, Cuyahoga",12.7,52
"08/23/2017, Cuyahoga",6.9,29
"08/26/2017, Cuyahoga",11.8,49
"08/29/2017, Cuyahoga",11.9,50
"09/01/2017, Cuyahoga",2.9,12
"09/04/2017, Cuyahoga",12.5,52
"09/07/2017, Cuyahoga",3.3,14
"09/10/2017, Cuyahoga",6.0,25
"09/13/2017, Cuyahoga",9.0,38
"09/16/2017, Cuyahoga",14.3,56
"09/19/2017, Cuyahoga",18.9,65
"09/22/2017, Cuyahoga",14.6,56
"09/25/2017, Cuyahoga",16.8,61
"09/28/2017, Cuyahoga",3.6,15
"10/01/2017, Cuyahoga",7.9,33
"10/04/2017, Cuyahoga",11.0,46
"10/07/2017, Cuyahoga",9.7,40
"10/10/2017, Cuyahoga",16.8,61
"10/13/2017, Cuyahoga",8.6,36
"10/16/2017, Cuyahoga",4.0,17
