date_county,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE
"11/05/2017, Cuyahoga",0.02,19
"11/06/2017, Cuyahoga",0.023,21
"11/07/2017, Cuyahoga",0.024,22
"11/10/2017, Cuyahoga",0.031,29
"11/11/2017, Cuyahoga",0.029,27
"11/12/2017, Cuyahoga",0.018,17
"11/13/2017, Cuyahoga",0.024,22
"11/14/2017, Cuyahoga",0.017,16
"11/15/2017, Cuyahoga",0.015,14
"11/16/2017, Cuyahoga",0.023,21
"11/17/2017, Cuyahoga",0.021,19
"11/18/2017, Cuyahoga",0.023,21
"11/20/2017, Cuyahoga",0.028,26
"11/21/2017, Cuyahoga",0.031,29
"11/22/2017, Cuyahoga",0.026,24
"11/23/2017, Cuyahoga",0.028,26
"11/24/2017, Cuyahoga",0.031,29
"11/25/2017, Cuyahoga",0.031,29
"11/26/2017, Cuyahoga",0.035,32
"11/28/2017, Cuyahoga",0.038,35
"11/29/2017, Cuyahoga",0.024,22
"11/30/2017, Cuyahoga",0.021,19
"12/01/2017, Cuyahoga",0.021,19
"12/02/2017, Cuyahoga",0.013,12
"12/03/2017, Cuyahoga",0.015,14
"12/04/2017, Cuyahoga",0.034,31
"12/05/2017, Cuyahoga",0.027,25
"12/06/2017, Cuyahoga",0.024,22
"12/07/2017, Cuyahoga",0.022,20
"12/08/2017, Cuyahoga",0.026,24
"12/09/2017, Cuyahoga",0.023,21
"12/10/2017, Cuyahoga",0.024,22
"12/11/2017, Cuyahoga",0.02,19
"12/12/2017, Cuyahoga",0.035,32
"12/13/2017, Cuyahoga",0.024,22
"12/14/2017, Cuyahoga",0.03,28
"12/15/2017, Cuyahoga",0.022,20
"12/16/2017, Cuyahoga",0.021,19
"12/17/2017, Cuyahoga",0.014,13
"12/18/2017, Cuyahoga",0.02,19
"12/19/2017, Cuyahoga",0.024,22
"12/20/2017, Cuyahoga",0.029,27
"12/21/2017, Cuyahoga",0.016,15
"12/22/2017, Cuyahoga",0.009,8
"12/23/2017, Cuyahoga",0.022,20
"12/24/2017, Cuyahoga",0.025,23
"12/25/2017, Cuyahoga",0.032,30
"12/26/2017, Cuyahoga",0.03,28
"12/27/2017, Cuyahoga",0.025,23
"12/28/2017, Cuyahoga",0.019,18
"12/29/2017, Cuyahoga",0.022,20
"12/30/2017, Cuyahoga",0.032,30
"03/01/2017, Cuyahoga",0.037,34
"03/02/2017, Cuyahoga",0.038,35
"03/03/2017, Cuyahoga",0.039,36
"03/04/2017, Cuyahoga",0.039,36
"03/05/2017, Cuyahoga",0.035,32
"03/07/2017, Cuyahoga",0.037,34
"03/08/2017, Cuyahoga",0.043,40
"03/09/2017, Cuyahoga",0.041,38
"03/10/2017, Cuyahoga",0.039,36
"03/11/2017, Cuyahoga",0.04,37
"03/12/2017, Cuyahoga",0.04,37
"03/13/2017, Cuyahoga",0.032,30
"03/14/2017, Cuyahoga",0.037,34
"03/15/2017, Cuyahoga",0.041,38
"03/16/2017, Cuyahoga",0.043,40
"03/17/2017, Cuyahoga",0.035,32
"03/18/2017, Cuyahoga",0.025,23
"03/19/2017, Cuyahoga",0.036,33
"03/20/2017, Cuyahoga",0.025,23
"03/21/2017, Cuyahoga",0.042,39
"03/22/2017, Cuyahoga",0.04,37
"03/23/2017, Cuyahoga",0.04,37
"03/24/2017, Cuyahoga",0.053,49
"03/25/2017, Cuyahoga",0.024,22
"03/26/2017, Cuyahoga",0.037,34
"03/27/2017, Cuyahoga",0.032,30
"03/28/2017, Cuyahoga",0.027,25
"03/29/2017, Cuyahoga",0.039,36
"03/30/2017, Cuyahoga",0.026,24
"03/31/2017, Cuyahoga",0.027,25
"04/01/2017, Cuyahoga",0.042,39
"04/02/2017, Cuyahoga",0.043,40
"04/03/2017, Cuyahoga",0.039,36
