date_county,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
"05/13/2017, Cuyahoga",19,18
"05/14/2017, Cuyahoga",14,13
"05/15/2017, Cuyahoga",21,19
"05/16/2017, Cuyahoga",57,52
"05/17/2017, Cuyahoga",64,55
"05/18/2017, Cuyahoga",44,41
"05/19/2017, Cuyahoga",11,10
"05/20/2017, Cuyahoga",15,14
"05/21/2017, Cuyahoga",20,19
"05/22/2017, Cuyahoga",14,13
"05/23/2017, Cuyahoga",35,32
"05/24/2017, Cuyahoga",18,17
"05/25/2017, Cuyahoga",8,7
"05/26/2017, Cuyahoga",11,10
"05/27/2017, Cuyahoga",12,11
"05/28/2017, Cuyahoga",23,21
"05/29/2017, Cuyahoga",16,15
"05/30/2017, Cuyahoga",27,25
"05/31/2017, Cuyahoga",40,37
"06/01/2017, Cuyahoga",27,25
"06/02/2017, Cuyahoga",44,41
"06/03/2017, Cuyahoga",29,27
"06/04/2017, Cuyahoga",29,27
"06/05/2017, Cuyahoga",12,11
"06/06/2017, Cuyahoga",10,9
"06/07/2017, Cuyahoga",9,8
"06/08/2017, Cuyahoga",30,28
"06/09/2017, Cuyahoga",69,58
"06/10/2017, Cuyahoga",30,28
"06/11/2017, Cuyahoga",23,21
"06/12/2017, Cuyahoga",28,26
"06/13/2017, Cuyahoga",33,31
"06/14/2017, Cuyahoga",40,37
"06/15/2017, Cuyahoga",24,22
"06/16/2017, Cuyahoga",22,20
"06/17/2017, Cuyahoga",29,27
"06/18/2017, Cuyahoga",19,18
"06/19/2017, Cuyahoga",13,12
"06/20/2017, Cuyahoga",12,11
"06/21/2017, Cuyahoga",14,13
"06/22/2017, Cuyahoga",37,34
"06/23/2017, Cuyahoga",10,9
"06/24/2017, Cuyahoga",13,12
"06/25/2017, Cuyahoga",12,11
"06/26/2017, Cuyahoga",13,12
"06/27/2017, Cuyahoga",16,15
"06/28/2017, Cuyahoga",24,22
"06/29/2017, Cuyahoga",36,33
"06/30/2017, Cuyahoga",16,15
"07/01/2017, Cuyahoga",13,12
"07/02/2017, Cuyahoga",18,17
"07/03/2017, Cuyahoga",16,15
"07/04/2017, Cuyahoga",20,19
"07/05/2017, Cuyahoga",22,20
